f_id,f_name,settlement_date,CT_Area,Owned_Leased,Species_Rich,Purchase_Price,Planting_Year,Arch_Sites,Fish_Spawning,Reg_Success
783,Antcliff,14/02/2022,1879.2321,Owned,55,"$7,030,025.61",2007,TRUE,FALSE,77
409,Rowen,14/03/2022,1280.3366,Leased,63,"$6,488,500.96",2007,TRUE,TRUE,84
389,Merry,13/03/2022,288.5851,Leased,61,"$4,511,807.92",1993,FALSE,TRUE,83
963,Goade,16/12/2022,2578.4984,Owned,53,"$9,569,762.44",2006,FALSE,FALSE,83
532,Physick,13/10/2022,550.674,Leased,37,"$5,939,923.72",1994,TRUE,TRUE,86
71,Braz,3/11/2022,2566.8995,Owned,76,"$441,251.15",1998,FALSE,TRUE,90
865,Lesmonde,31/05/2022,2705.7942,Owned,83,"$6,014,083.76",1997,FALSE,TRUE,86
381,Dozdill,8/12/2022,707.5455,Leased,3,"$5,212,330.53",2011,FALSE,FALSE,93
180,Bartlomiejczyk,22/10/2022,2303.153,Leased,3,"$8,459,846.02",2001,FALSE,FALSE,98
355,Prettejohns,4/11/2022,2426.7049,Leased,62,"$7,185,097.14",1983,FALSE,TRUE,117
606,Papachristophorou,29/08/2022,2158.7707,Owned,20,"$5,747,815.45",1997,FALSE,FALSE,104
478,Eykel,21/09/2022,1736.5377,Owned,34,"$7,028,780.79",2010,FALSE,TRUE,80
407,Bruinemann,6/06/2022,898.2737,Leased,31,"$9,379,417.21",1993,FALSE,TRUE,80
951,Meegan,23/05/2022,1005.222,Leased,16,"$1,483,480.37",2004,FALSE,TRUE,125
645,Galea,19/11/2022,164.6374,Leased,38,"$3,837,290.21",2006,FALSE,TRUE,104
672,Goodger,16/02/2022,2611.3572,Leased,56,"$599,593.05",1999,TRUE,FALSE,81
803,Krahl,29/01/2022,216.9421,Owned,1,"$5,759,378.54",1988,TRUE,TRUE,78
657,Kidder,14/05/2022,2371.8269,Leased,52,"$5,858,751.05",1990,TRUE,FALSE,92
889,Oakwell,25/08/2022,1719.735,Owned,9,"$9,133,654.30",2003,TRUE,TRUE,94
46,Edginton,15/03/2022,1910.6336,Owned,51,"$4,779,147.81",1993,FALSE,TRUE,82
352,Giovanardi,15/05/2022,240.6549,Leased,83,"$1,989,937.58",2005,FALSE,FALSE,93
857,Charte,5/03/2022,740.2563,Leased,40,"$5,871,682.42",2001,TRUE,TRUE,101
843,Warder,12/01/2022,795.8401,Leased,52,"$4,854,978.34",1990,FALSE,FALSE,88
400,Tart,5/06/2022,327.241,Leased,16,"$2,320,866.39",1995,FALSE,FALSE,68
154,Phipps,30/03/2022,1578.855,Owned,2,"$364,288.60",1984,FALSE,FALSE,93
679,Sword,31/08/2022,1804.9013,Owned,66,"$1,953,270.26",1998,TRUE,TRUE,115
941,Worland,13/12/2022,2074.1905,Owned,94,"$2,170,689.19",1995,TRUE,FALSE,91
461,Southcombe,16/06/2022,859.0399,Owned,20,"$808,297.41",2002,FALSE,TRUE,81
436,Bousquet,25/07/2022,1009.9836,Leased,14,"$8,762,386.85",1989,TRUE,TRUE,91
992,Boulton,30/01/2022,2177.3155,Leased,70,"$3,912,743.23",1999,TRUE,TRUE,84
903,Heaford,22/07/2022,382.2433,Leased,47,"$9,748,600.63",2006,FALSE,TRUE,92
832,Biddwell,7/11/2022,945.2395,Owned,94,"$374,630.06",1992,TRUE,TRUE,87
42,Foale,19/06/2022,757.5656,Owned,87,"$3,213,900.60",2008,FALSE,FALSE,95
678,Quant,25/11/2022,86.354,Leased,87,"$4,620,992.45",2011,TRUE,FALSE,96
173,Leither,28/09/2022,569.0703,Leased,37,"$2,935,879.72",1994,TRUE,FALSE,83
